"ROAD","LI","CONTRI","JF","CF","SP","DE","TIME"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.2313","0.70","16.05","+","2016-06-12 07:39:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.8637","0.85","42.77","+","2016-06-12 07:38:57"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","1.4348","0.85","44.21","+","2016-06-12 07:38:57"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.9874","0.85","44.95","+","2016-06-12 07:38:57"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","2.1624","0.87","48.60","+","2016-06-12 07:38:57"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.8214","0.84","54.30","+","2016-06-12 07:38:57"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","1.2477","0.85","53.98","+","2016-06-12 07:38:57"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","2.2303","0.86","45.79","-","2016-06-12 07:38:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","3.9703","0.87","45.95","-","2016-06-12 07:38:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","4.2654","0.86","44.87","-","2016-06-12 07:38:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.7212","0.72","59.90","-","2016-06-12 07:38:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.0307","0.70","49.11","-","2016-06-12 07:38:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","5.9969","0.76","13.55","-","2016-06-12 07:38:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.2911","0.79","12.76","-","2016-06-12 07:38:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.3498","0.80","14.68","-","2016-06-12 07:38:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.3083","0.70","15.89","-","2016-06-12 07:38:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.2861","0.70","17.87","+","2016-06-12 07:38:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.4218","0.70","16.98","+","2016-06-12 07:38:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","2.9996","0.76","12.73","+","2016-06-12 07:38:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.5415","0.73","19.86","-","2016-06-12 07:49:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0186","0.74","21.02","+","2016-06-12 07:49:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","6.2350","0.70","14.31","+","2016-06-12 07:49:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 07:49:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.2477","0.70","16.02","+","2016-06-12 07:48:05"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","5.2681","0.96","29.52","+","2016-06-12 07:48:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","2.6172","0.97","40.26","+","2016-06-12 07:48:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","2.2631","0.97","43.98","+","2016-06-12 07:48:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","4.3863","0.98","39.29","+","2016-06-12 07:48:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.4051","0.98","56.06","+","2016-06-12 07:48:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","2.0760","0.96","50.65","+","2016-06-12 07:48:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0.5748","0.97","51.88","-","2016-06-12 07:48:45"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.7978","0.98","59.57","-","2016-06-12 07:48:45"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.0765","0.97","63.67","-","2016-06-12 07:48:45"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.0981","0.97","62.58","-","2016-06-12 07:48:45"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0","0.96","62.18","-","2016-06-12 07:48:45"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.5621","0.73","12.65","-","2016-06-12 07:48:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","4.8174","0.74","13.41","-","2016-06-12 07:48:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.6865","0.74","15.87","-","2016-06-12 07:48:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.5612","0.70","15.40","-","2016-06-12 07:48:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.0865","0.70","18.26","+","2016-06-12 07:48:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","4.9287","0.78","17.90","+","2016-06-12 07:48:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","2.3309","0.78","13.46","+","2016-06-12 07:48:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.2647","0.71","20.47","-","2016-06-12 07:59:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.2773","0.71","20.44","+","2016-06-12 07:59:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","6.0213","0.70","14.68","+","2016-06-12 07:59:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 07:59:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.2477","0.70","16.02","+","2016-06-12 07:59:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.7258","0.98","36.55","+","2016-06-12 07:58:59"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","3.242","0.99","38.17","+","2016-06-12 07:58:59"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","2.7720","0.99","42.17","+","2016-06-12 07:58:59"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","2.3259","0.99","47.96","+","2016-06-12 07:58:59"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","2.2023","0.99","52.69","+","2016-06-12 07:58:59"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.6510","0.97","56.38","+","2016-06-12 07:58:59"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0.4077","0.82","52.50","-","2016-06-12 07:58:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.4728","0.83","60.97","-","2016-06-12 07:58:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.3656","0.84","62.40","-","2016-06-12 07:58:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.4289","0.82","61.16","-","2016-06-12 07:58:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.3551","0.83","55.62","-","2016-06-12 07:58:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","5.4469","0.84","14.42","-","2016-06-12 07:58:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","3.9461","0.85","14.62","-","2016-06-12 07:58:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","4.7454","0.78","17.57","-","2016-06-12 07:58:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.3937","0.70","15.73","-","2016-06-12 07:58:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.8793","0.70","18.66","+","2016-06-12 07:58:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.2005","0.74","17.39","+","2016-06-12 07:58:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","3.1046","0.73","12.61","+","2016-06-12 07:58:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.1348","0.70","20.76","-","2016-06-12 08:09:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.3888","0.70","20.20","+","2016-06-12 08:09:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.9218","0.70","14.86","+","2016-06-12 08:09:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 08:09:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","4.6008","0.76","17.14","+","2016-06-12 08:09:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.5295","0.85","40.55","+","2016-06-12 08:08:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","1.6202","0.83","43.59","+","2016-06-12 08:08:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.8608","0.85","45.40","+","2016-06-12 08:08:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","1.4689","0.85","51.29","+","2016-06-12 08:08:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.2493","0.83","56.72","+","2016-06-12 08:08:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.5662","0.82","56.72","+","2016-06-12 08:08:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0.3327","0.75","52.78","-","2016-06-12 08:08:39"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.5971","0.76","60.44","-","2016-06-12 08:08:39"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.543","0.76","61.63","-","2016-06-12 08:08:39"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.5774","0.75","60.52","-","2016-06-12 08:08:39"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.2938","0.75","51.97","-","2016-06-12 08:08:39"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.3547","0.76","12.98","-","2016-06-12 08:08:18"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","4.1981","0.76","14.27","-","2016-06-12 08:08:18"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","4.9218","0.73","17.25","-","2016-06-12 08:08:18"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.0438","0.70","16.40","-","2016-06-12 08:08:18"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.7833","0.70","18.85","+","2016-06-12 08:08:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.3176","0.71","17.17","+","2016-06-12 08:08:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","2.6705","0.76","13.09","+","2016-06-12 08:08:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0752","0.70","20.89","-","2016-06-12 08:19:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.4381","0.70","20.09","+","2016-06-12 08:19:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.6954","0.70","15.25","+","2016-06-12 08:19:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 08:19:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","4.9759","0.73","16.49","+","2016-06-12 08:18:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0","0.88","54.99","+","2016-06-12 08:18:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.8923","0.76","46.02","+","2016-06-12 08:18:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.3016","0.77","47.39","+","2016-06-12 08:18:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.9430","0.77","53.34","+","2016-06-12 08:18:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.8215","0.76","58.53","+","2016-06-12 08:18:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.5281","0.75","56.88","+","2016-06-12 08:18:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","1.1611","0.90","49.72","-","2016-06-12 08:18:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","5.6961","0.93","35.29","-","2016-06-12 08:18:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","6.2589","0.93","32.31","-","2016-06-12 08:18:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","4.4560","0.94","42.99","-","2016-06-12 08:18:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","5.5007","0.90","33.03","-","2016-06-12 08:18:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.7056","0.72","12.42","-","2016-06-12 08:18:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","4.3070","0.73","14.12","-","2016-06-12 08:18:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","4.9990","0.71","17.11","-","2016-06-12 08:18:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","5.8768","0.70","16.73","-","2016-06-12 08:18:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.7396","0.70","18.93","+","2016-06-12 08:18:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.3170","0.71","17.18","+","2016-06-12 08:18:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","1.1369","0.80","14.76","+","2016-06-12 08:18:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0483","0.70","20.95","-","2016-06-12 08:29:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.4600","0.70","20.04","+","2016-06-12 08:29:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.4612","0.70","15.65","+","2016-06-12 08:29:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 08:29:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.1352","0.71","16.22","+","2016-06-12 08:28:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0","0.98","57.86","+","2016-06-12 08:28:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0","0.92","57.58","+","2016-06-12 08:28:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0","0.92","57.71","+","2016-06-12 08:28:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0","0.94","59.50","+","2016-06-12 08:28:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.3732","0.90","60.42","+","2016-06-12 08:28:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0.4873","0.92","57.04","+","2016-06-12 08:28:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.93","68.53","-","2016-06-12 08:28:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0","0.98","73.22","-","2016-06-12 08:28:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0","0.97","73.20","-","2016-06-12 08:28:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0","0.92","70.02","-","2016-06-12 08:28:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0","0.91","64.43","-","2016-06-12 08:28:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.8535","0.71","12.19","-","2016-06-12 08:28:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","4.2334","0.72","14.22","-","2016-06-12 08:28:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.0332","0.70","17.05","-","2016-06-12 08:28:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","5.7997","0.70","16.88","-","2016-06-12 08:28:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.7198","0.70","18.97","+","2016-06-12 08:28:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.369","0.70","17.08","+","2016-06-12 08:28:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","2.6588","0.74","13.10","+","2016-06-12 08:28:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0361","0.70","20.98","-","2016-06-12 08:39:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.6242","0.70","19.68","+","2016-06-12 08:39:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.352","0.70","15.84","+","2016-06-12 08:39:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 08:38:03"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.2049","0.70","16.10","+","2016-06-12 08:38:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.8503","0.87","39.48","+","2016-06-12 08:38:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","4.2134","0.95","34.61","+","2016-06-12 08:38:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","2.7713","0.95","42.17","+","2016-06-12 08:38:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.8214","0.99","53.81","+","2016-06-12 08:38:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","2.5404","0.95","51.26","+","2016-06-12 08:38:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0","0.90","62.75","+","2016-06-12 08:38:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.80","59.97","-","2016-06-12 08:38:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0","0.82","65.94","-","2016-06-12 08:38:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0","0.82","66.48","-","2016-06-12 08:38:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","4.3737","0.93","43.50","-","2016-06-12 08:38:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0","0.85","57.23","-","2016-06-12 08:38:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.9180","0.70","12.08","-","2016-06-12 08:38:12"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","4.4226","0.71","13.96","-","2016-06-12 08:38:12"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.0485","0.70","17.02","-","2016-06-12 08:38:12"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","5.7646","0.70","16.94","-","2016-06-12 08:38:12"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.7145","0.70","18.98","+","2016-06-12 08:38:34"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.2587","0.71","17.28","+","2016-06-12 08:38:34"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","2.0534","0.78","13.76","+","2016-06-12 08:38:34"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0361","0.70","20.98","-","2016-06-12 08:49:03"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.7950","0.70","19.30","+","2016-06-12 08:49:03"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.1206","0.70","16.24","+","2016-06-12 08:49:03"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 08:49:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.0519","0.70","16.36","+","2016-06-12 08:49:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.7743","0.78","43.07","+","2016-06-12 08:48:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","2.0989","0.81","41.99","+","2016-06-12 08:48:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.7103","0.81","45.94","+","2016-06-12 08:48:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0","0.93","63.08","+","2016-06-12 08:48:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0","0.95","67.18","+","2016-06-12 08:48:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0","0.93","65.29","+","2016-06-12 08:48:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0.0233","0.88","53.91","-","2016-06-12 08:48:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.2863","0.94","61.77","-","2016-06-12 08:48:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.1745","0.96","58.87","-","2016-06-12 08:48:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.4652","0.92","56.71","-","2016-06-12 08:48:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.6908","0.94","54.32","-","2016-06-12 08:48:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.9467","0.70","12.04","-","2016-06-12 08:48:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","6.3538","0.78","11.29","-","2016-06-12 08:48:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.0485","0.70","17.02","-","2016-06-12 08:48:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","5.5854","0.70","17.29","-","2016-06-12 08:48:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.5425","0.70","19.31","+","2016-06-12 08:48:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.2600","0.72","17.28","+","2016-06-12 08:48:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","3.2115","0.75","12.50","+","2016-06-12 08:48:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0282","0.70","21.00","-","2016-06-12 08:59:04"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.8695","0.70","19.13","+","2016-06-12 08:59:04"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","4.8844","0.70","16.65","+","2016-06-12 08:59:04"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 08:59:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","4.8521","0.70","16.71","+","2016-06-12 08:58:05"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0","0.96","56.39","+","2016-06-12 08:59:01"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0","0.93","52.16","+","2016-06-12 08:59:01"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0","0.96","53.38","+","2016-06-12 08:59:01"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","1.6882","0.97","50.44","+","2016-06-12 08:59:01"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","4.2325","0.93","43.67","+","2016-06-12 08:59:01"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","5.6587","0.97","33.27","+","2016-06-12 08:59:01"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0","0.90","58.78","-","2016-06-12 08:58:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","0.1704","0.93","62.27","-","2016-06-12 08:58:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.7228","0.95","60.85","-","2016-06-12 08:58:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","0.7018","0.92","59.99","-","2016-06-12 08:58:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.6798","0.95","54.36","-","2016-06-12 08:58:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.9543","0.70","12.02","-","2016-06-12 08:58:06"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.7945","0.74","12.06","-","2016-06-12 08:58:06"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.0584","0.70","17.00","-","2016-06-12 08:58:06"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","5.3875","0.70","17.67","-","2016-06-12 08:58:06"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.3500","0.70","19.69","+","2016-06-12 08:58:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.0521","0.71","17.67","+","2016-06-12 08:58:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","3.4669","0.72","12.22","+","2016-06-12 08:58:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.0282","0.70","21.00","-","2016-06-12 09:09:04"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.9026","0.70","19.06","+","2016-06-12 09:09:04"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","4.7745","0.70","16.84","+","2016-06-12 09:09:04"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.2804","0.70","15.97","-","2016-06-12 09:09:02"
